Name,Impl,Proof,Impl Proof Time (ms),Proof Proof Time (ms),Impl Finitize (ms),Proof Finitize (ms)
binarySearch_LI_S_F,Success,Failure,281,612,1344.50,4713.57
binarySearch_LI_S_S,Success,Success,281,347,1341.84,4941.17
indexUpTo_Assertion_F_Modular,Success,Failure,205,247,979.34,2034.76
indexUpTo_Assertion_F,Success,Failure,193,221,930.98,1782.99
indexUpTo_Assertion_S_Modular,Success,Success,203,254,975.95,2082.29
indexUpTo_Assertion_S,Success,Success,199,215,966.88,1801.08
indexUpTo_PC_F,Failure,N/A,200,N/A,942.53,N/A
indexUpTo_PC_S,Success,Success,203,214,1088.87,1754.14
primeEx_specAssertion_F,N/A,Failure,N/A,137,N/A,917.46
primeEx_specAssertion_S,N/A,Success,N/A,142,N/A,911.24
